Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted flaggers (Trusted flagger notices),Median time to take action,Median time to take action (Trusted flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted flaggers (Trusted flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted flagger notices),
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,TOTAL,,7853,1,7255,1,120,0,7,0,2723,0,"This sheet reports information regarding the number of notices submitted in accordance with Article 16 of the Digital Services Act LinkedIn received from users in the European Union during the reporting period, by category selected by the reporter. The category selected by the reporter when submitting an Article 16 report may or may not be the same as the basis on which LinkedIn actions a piece of content. Upon receipt, Article 16 notices are evaluated and resolved by human reviewers; LinkedIn did not resolve Article 16 notices via automated means during the reporting period. Note that the number of specific items of information included in the total number of notices (e.g., Column H) may be greater than the number of notices received (e.g., Column G) -- for example, when a single notice contains multiple pieces of content. Note also that the number of specific items of information included in the total number of notices (e.g., Column H) may also be less than the number of notices received (e.g., Column G) -- for example, when multiple notices report the same piece of content. Across all sheets, the metrics LinkedIn provides in this report are best estimates provided the data available in LinkedIn's systems and methods used in the ordinary course of business. In some cases, metrics can be impacted by, e.g., account deletion, content deletion, as well as downtime or errors in LinkedIn's systems that may impact data recording. Certain data may also vary or change over time. For example, a user report received on 31 December may not be resolved until after the reporting period. Metrics in the report are based on data after the close of the reporting period.",,,,"As provided by Commission Implementing Regulation (EU) 2024/2835, median times in this report are provided in hours, rounded to the nearest hour. Certain requests may be received during the reporting period but not resolved during the reporting period; those requests are excluded from the median time calculations.As provided by Commission Implementing Regulation (EU) 2024/2835, LinkedIn reports median time from receipt of the notice to enforcement action. Cases where LinkedIn decided not to act are excluded from the calculation of the median time to take action.",,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,31,0,29,0,94,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,27,0,25,0,94,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,3,0,3,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,2880,0,2719,0,113,0,2,0,1442,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,113,0,114,0,219,0,0,0,10,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,514,0,497,0,148,0,0,0,165,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,271,0,259,0,300,0,0,0,81,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,480,0,473,0,103,0,0,0,309,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,955,0,922,0,150,0,1,0,468,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,547,0,536,0,98,0,1,0,460,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,108,0,99,0,55,0,0,0,21,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,13,0,13,0,31,0,0,0,3,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,33,0,33,0,29,0,0,0,10,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,14,0,16,0,87,0,0,0,5,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,31,0,23,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,5,0,5,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,4,0,4,0,359,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,38,0,36,0,98,0,0,0,10,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,5,0,4,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,12,0,11,0,12,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,11,0,12,0,220,0,0,0,5,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,5,0,5,0,98,0,0,0,2,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,1,0,1,0,23,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,2,0,2,0,98,0,0,0,1,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,869,1,763,1,155,0,0,0,97,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,107,0,101,0,50,0,0,0,8,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,139,0,132,0,75,0,0,0,15,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,374,1,323,1,346,0,0,0,42,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,180,0,163,0,178,0,0,0,9,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,69,0,68,0,119,0,0,0,23,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,938,0,868,0,86,0,4,0,288,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,259,0,224,0,53,0,1,0,84,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,412,0,392,0,170,0,3,0,60,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,108,0,108,0,57,0,0,0,13,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,KEYWORD_OTHER,,159,0,159,0,97,0,0,0,131,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,1654,0,1664,0,659,0,0,0,535,0,,,,,,,,,,,
