Applicability,Service,Reporting period,Indicator,Value
All,"FFXIV (Final Fantasy XIV Online)
FFXIV Forums
FFXIV Lodestone",01/01/2025 - 31/12/2025,Summary of the content moderation engaged in at the providers’ own initiative,"Square Enix moderates the content in the FFXIV live service game via the in game reporting functionality. Players can readily report any illegal content through the game's interface and such information is then reviewed by Square Enix to decide whether an action is required to be taken or not, in accordance with its T&Cs.
Reporting functionalities are also present on the FFXIV Lodestone and FFXIV Forums."
All,,,Meaningful and comprehensible information regarding content moderation engaged in at the providers' own initiative,Square Enix does not carry out active content moderation
All,,,Qualitative description of the automated means,Not applicable as Square Enix does not carry out automated moderation.
All,,,Qualitative description of indicators of accuracy and possible rate of error of automated means,Not applicable
All,,,Specification of the precise purposes to apply automated means,Not applicable
All,,,Safeguards applied to the use of automated means,Not applicable
