Applicability,Service,Indicator,Value
All,FFXIV (Final Fantasy XIV Online),Name of the service provider,"Square Enix Limited (""Square Enix"")"
All,FFXIV Lodestone,Date of the publication of the report,2026-02-28 00:00:00
All,FFXIV Forums,Date of the publication of the latest previous report,2025-02-14 00:00:00
All,,Starting date of reporting period,2025-01-01 00:00:00
All,,Ending date of reporting period,2025-12-31 00:00:00
