Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",FFXIV Forums,January 2025,Not Specified Order,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,TOTAL,,3,,3,,20 Hours,,0,,1,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Cyber Violence,,3,,3,,20 Hours,,0,,1,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Scams And Fraud,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Self Harm,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Violence,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,January 2025,Not Specified Order,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,TOTAL,,1836,,1836,,"4 days, 7:48:30",,0,,248,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Cyber Violence,,770,,770,,"4 days, 2:42:00",,0,,140,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Data Protection And Privacy Violations,,2,,2,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Scams And Fraud,,62,,62,,1 Hour,,0,,21,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Self Harm,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Violence,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,February 2025,Not Specified Order,Grief tactics,1002,,1002,,"4 days, 12:55:00",,0,,87,,See note in P17,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,TOTAL,,105,,105,,"2 days, 19:21:00",,0,,47,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Cyber Violence,,105,,105,,"2 days, 19:21:00",,0,,47,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Scams And Fraud,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Self Harm,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Violence,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,February 2025,Not Specified Order,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,TOTAL,,24,,24,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Cyber Violence,,24,,24,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Scams And Fraud,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Self Harm,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Violence,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,February 2025,Not Specified Order,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,TOTAL,,2134,,2134,,"5 days, 10:24:45",,0,,232,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
