Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,0,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,0,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,0,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,,"Due to system limitations, the brand is not able to specifically identify appeals or internal complaints submitted regarding a decision to not take action to a notice submitted in accordance with Article 16. Said this, for the reporting period, there are no notices submitted by a Trusted Flagger in accordance with Article 16."
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,335,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,73,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,1,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,66,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,1260.866666666667,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,195,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0.6212121212121212,
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content,Total number,0,The brand does not apply this restriction or remediation for repeated offenders.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,0,The brand does not apply this restriction or remediation for repeated offenders.
Only for providers of online platforms,Tinder,2025-01-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,0,The brand does not apply this restriction or remediation for repeated offenders.
