Applicability,Service,Indicator,Value
All,Pinterest,Name of the service provider,Pinterest Europe Ltd.
All,Pinterest,Date of the publication of the report,2026-08-28
All,Pinterest,Date of the publication of the latest previous report,2026-02-27
All,Pinterest,Starting date of reporting period,2026-01-01
All,Pinterest,Ending date of reporting period,2026-06-30
