Applicability,Service,Reporting period,Category of illegal content,"Description of the subcategory ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
