Applicability,Service,Reporting period,Category of illegal content,"Description of the subcategory ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.",,"During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","During the reporting period, we did not receive any orders related to this category. The median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero."
