Applicability,Service,Reporting period,Category of illegal content,"Description of the subcategory ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,TOTAL,46,590,0,2.76,32,0,25.53,"This is the total number of orders received from EU Member States’ authorities to act against illegal content in the reporting period.

We review the orders to determine if the content identified violates our Community Guidelines or local law. Our teams take action on violations, ranging from deactivating the content globally to restricting access to the content within the relevant country if it appears to violate local law, but does not violate our policies.",This is the total number of specific items of information that were included in the total number of orders received from EU Member States’ authorities.,"The median time to inform the authority of the receipt of the order to act against illegal content is listed as 0 because our confirmation is automated and immediate.

In situations where we did not receive any orders related to a specific category or subcategory, the median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.","Due to our intake and enforcement processes, the median time to give effect to an order to act against illegal content is calculated at the individual content-item level. This means we measure the time from when the order is successfully transmitted to Pinterest to when each specific item of reported content is addressed, rather than measuring the time from receipt of the order to when all items in that order have been addressed.

In situations where we did not receive any orders related to a specific category or subcategory, the median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.

The median time is indicated in hours.","This is the total number of orders to provide information received from EU Member States’ authorities in the reporting period. 

These orders may include law enforcement requests, such as emergency disclosure requests, and requests issued pursuant to local law.","The median time to inform the authority of the receipt of the order to provide information is listed as 0 because our confirmation is automated and immediate.

In situations where we did not receive any orders related to a specific category or subcategory, the median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.

","The median time to give effect to the order to provide information is calculated based on the time the order was successfully transmitted to Pinterest, until the time the order was addressed.

The median time is only calculated based on orders where effect is given to the order, thus this is not based on the total number of orders received. In situations where we did not receive any orders related to a specific category or subcategory, the median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.

The median time is indicated in hours. 

"
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0,,,,,,,
