Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,TOTAL,,"18,856",23,"46,043",258,2.00,2.11,62,0,"39,508",241,"This includes the total number of notices received during the reporting period through our European Union (""EU"") Illegal Content Reporting Form. Following methodology improvements, this figure now also captures intellectual property (""IP"") notices submitted by EU users via our IP reporting forms for copyright and trademark reports, which are available through our EU illegal content reporting form.

Please note the total number of notices received does not equal the total numbers outlined in the rows below. This is because one notice can contain multiple items with separate reporting reasons per item. When one notice includes multiple reporting reasons, we count them separately.","This is the total number of notices received from Trusted Flaggers during the reporting period.

Please note the total number of notices received does not equal the total numbers outlined in the rows below. This is because one notice can contain multiple items with separate reporting reasons per item. When one notice includes multiple reporting reasons, we count them separately.",This is the total number of specific items of information that were included in the total number of notices received.,This is the total number of specific items of information that were included in the total number of notices received from Trusted Flaggers.,"The median time to take action is calculated based on the time the notice was received until the time each item was addressed. This excludes items that resulted in a decision not to take action after determining no violation was found and the content was not illegal. In situations where we did not receive any notices related to a specific category or subcategory, or we did not take any actions pursuant to those notices received in that category or subcategory, the median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.

The median time is indicated in hours.","The median time to take action is calculated based on the time the notice was received until the time each item was addressed. This excludes items that resulted in a decision not to take action after determining no violation was found and the content was not illegal. In situations where we did not receive any Trusted Flagger notices related to a specific category or subcategory, or we did not take any actions pursuant to those Trusted Flagger notices received in that category or subcategory, the median time is listed as 0 - as it applies to Pinterest - but the result of that practice during the reporting period is zero.

The median time is indicated in hours.","This is the total number of actions that were taken following receipt of a notice, that were based on the illegality of the content. ","This is the total number of actions that were taken following receipt of a notice from a Trusted Flagger, that were based on the illegality of the content. ","This is the total number of actions that were taken following receipt of notice, that were based on the incompatibility of the information with Pinterest’s Terms of Service. ","This is the total number of actions that were taken following receipt of notice from a Trusted Flagger, that were based on the incompatibility of the information with Pinterest’s Terms of Service. "
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Pinterest,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,,,
