Zakres zastosowania,Usługa,Okres sprawozdawczy,Sekcja,Wskaźnik,Zakres,Wartość,Informacje kontekstowe
Wyłącznie w przypadku bardzo dużych platform internetowych,,RRRR-MM-DD/RRRR-MM-DD,Zasoby ludzkie przeznaczone do moderowania treści,Liczba wewnętrznych moderatorów zatrudnionych przez dostawcę,Łączna liczba,nd,nd
Wyłącznie w przypadku bardzo dużych platform internetowych,,RRRR-MM-DD/RRRR-MM-DD,Zasoby ludzkie przeznaczone do moderowania treści,Liczba moderatorów zewnętrznych zatrudnionych przez dostawcę,Łączna liczba,nd,nd
Wyłącznie w przypadku bardzo dużych platform internetowych,,RRRR-MM-DD/RRRR-MM-DD,Zasoby ludzkie przeznaczone do moderowania treści,Łączna liczba moderatorów dysponujących wystarczającą znajomością języków,Łączna liczba,nd,nd
Wyłącznie w przypadku bardzo dużych platform internetowych,,RRRR-MM-DD/RRRR-MM-DD,Zasoby ludzkie przeznaczone do moderowania treści,Łączna liczba moderatorów dysponujących wystarczającą znajomością języków,bg,nd,nd
Wyłącznie w przypadku bardzo dużych platform internetowych,,RRRR-MM-DD/RRRR-MM-DD,Zasoby ludzkie przeznaczone do moderowania treści,Łączna liczba moderatorów dysponujących wystarczającą znajomością języków,[…],nd,nd
Wyłącznie w przypadku bardzo dużych platform internetowych,,RRRR-MM-DD/RRRR-MM-DD,Zasoby ludzkie przeznaczone do moderowania treści,Łączna liczba moderatorów dysponujących wystarczającą znajomością języków,sv,nd,nd
