Zakres zastosowania,Usługa,Okres sprawozdawczy,Sekcja,Wskaźnik,Zakres,Wartość,Informacje kontekstowe
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym zgodnie z art. 16,Decyzje utrzymane w mocy,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym zgodnie z art. 16,Decyzje częściowo uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym zgodnie z art. 16,Decyzje uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym zgodnie z art. 16,Mediana czasu,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym przez zaufany podmiot sygnalizujący zgodnie z art. 16,Łączna liczba,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym przez zaufany podmiot sygnalizujący zgodnie z art. 16,Decyzje utrzymane w mocy,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym przez zaufany podmiot sygnalizujący zgodnie z art. 16,Decyzje częściowo uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym przez zaufany podmiot sygnalizujący zgodnie z art. 16,Decyzje uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Wewnętrzny mechanizm rozpatrywania skarg,Skargi dotyczące decyzji o niepodejmowaniu działań w związku ze zgłoszeniem dokonanym przez zaufany podmiot sygnalizujący zgodnie z art. 16,Mediana czasu,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Organy pozasądowego rozstrzygania sporów,Liczba sporów wniesionych do organów pozasądowego rozstrzygania sporów,Łączna liczba,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Organy pozasądowego rozstrzygania sporów,Liczba sporów wniesionych do organów pozasądowego rozstrzygania sporów,Decyzje utrzymane w mocy,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Organy pozasądowego rozstrzygania sporów,Liczba sporów wniesionych do organów pozasądowego rozstrzygania sporów,Decyzje częściowo uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Organy pozasądowego rozstrzygania sporów,Liczba sporów wniesionych do organów pozasądowego rozstrzygania sporów,Decyzje uchylone,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Organy pozasądowego rozstrzygania sporów,Liczba sporów wniesionych do organów pozasądowego rozstrzygania sporów,Mediana czasu,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Organy pozasądowego rozstrzygania sporów,Liczba sporów wniesionych do organów pozasądowego rozstrzygania sporów,Decyzje pominięte,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Organy pozasądowego rozstrzygania sporów,Liczba sporów wniesionych do organów pozasądowego rozstrzygania sporów,Odsetek zrealizowanych wyników,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Przypadki zawieszenia nałożone na sprawców powtarzających się naruszeń,Liczba przypadków zawieszenia dokonanego w związku z przekazywaniem oczywiście nielegalnych treści,Łączna liczba,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Przypadki zawieszenia nałożone na sprawców powtarzających się naruszeń,Liczba przypadków zawieszenia dokonanego w związku z dokonywaniem oczywiście bezzasadnych zgłoszeń,Łączna liczba,nd,
Wyłącznie w przypadku dostawców platform internetowych,nd,nd,Przypadki zawieszenia nałożone na sprawców powtarzających się naruszeń,Liczba przypadków zawieszenia dokonanego w związku z wnoszeniem oczywiście bezzasadnych skarg,Łączna liczba,nd,
