Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,30628190
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,AT,733124
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,BE,1080082
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,BG,735870
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,CY,102468
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,CZ,509514
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DE,6838017
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,DK,529422
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,EE,181381
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,ES,4771592
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FI,975452
Only for VLOPs and VLOSEs,Pornhub,2025-08-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,FR,3787
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,GR,795455
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HR,305344
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,HU,621740
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IE,578716
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,IT,2972401
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LT,276780
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LU,29363
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,LV,195886
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,MT,85053
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,NL,2736285
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PL,2170789
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,PT,1461686
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,RO,1282843
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SEE,1559115
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SI,271174
Only for VLOPs and VLOSEs,Pornhub,2025-07-1 - 2025-12-31,AMAR,Number of average monthly active recipients during the reporting period ,SK,351447
,,,,,,"Due primarily to deduplication of individual users who may access the platform in multiple EU Member States during the same month, the total sum of EU Member State counts may not exactly equal the EU total number. While we have employed reasonable and rigorous processes to publish the most accurate figures, imperfections are probable."
