Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Nombre total,,Non applicable car nous n'avons pas de système de monétisation accessible aux utilisateurs.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de restreindre la capacité de monétiser des informations,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Nombre total,1458,Nombre de réclamations ayant contesté notre décision de maintenir en ligne un message signalé comme devant être supprimé.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions confirmées,680,Décisions de maintenir le message en ligne confirmée malgré la réclamation.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions partiellement infirmées,,"Non applicable car il ne peut y avoir de décision partielle : soit un message est supprimé, soit il est maintenu en ligne."
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions infirmées,778,Décisions de supprimer le message suite à la réclamation.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Délai médian,5,Le délai indiqué est en heures.
