Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,TOTAL,,276352,0,,,0.17,,68374,0,37795,0,"Nous avons fait en sorte de rendre la notification très simple et visible en terme d'ergonomie pour l'utilisateur. Ainsi, un point d'exclamation dans un carré rouge apparaît sur l'ensemble des contenus pour que les personnes connectées puissent nous signaler les messages qu'elles trouvent inopportuns. De plus, un formulaire accessible à tous est aussi disponible sur l'ensemble de nos pages permettant de contacter la modération. Le chiffre présent en F2 est la somme des notifications reçues pour les catégories présentes dans ce même onglet. Il ne comprend donc pas les notifications reçues pour la catégorie 15 indiquée dans l'onglet ""2_nom_catégories"" et qui comportent beaucoup de motifs concernant les non respects aux conditions générales applicables sur JV (spoiler, pornographie ou publicité par exemple).",,,,"Les délais indiqués en colonne J sont en heures. Un délai médian de 1 indique que la délai médian est de 1h. Un délai de 0,5 équivaut à 30 minutes. Un délai de 0,17 indique que le délai médian de réponse aux injonctions est de 10 minutes, cela veut donc dire qu'il y a un délai médian de 10 minutes pour traiter la notification et donc, de décider de laisser le message en ligne ou de le supprimer.",,"Les actions entreprises sur la base de la législation représentent ici le nombre de messages supprimés suite à une notification, et catégorisés par notre modération pour les motifs suivants : ""Propos haineux, discrimination, négationnisme"" / ""Apologie de comportements illégaux"" / ""Piratage, non respect des droits d'auteur"" / ""Raid, flood, attaque de sites"" / ""Pédopornographie"" / ""Menaces physiques"" / ""Terrorisme : menace ou apologie"". Pour voir la correspondance avec les motifs standardisés de ce document, voir l'onglet ""2_noms_categories"".",,"Les actions entreprises sur la base des CGU représentent ici le nombre de messages supprimés suite à une notification, et catégorisés par notre modération pour les motifs suivants : ""Données personnelles"" / ""Suicide ou automutilation"" / ""Image ou vidéo choquante, gore"" / ""Insulte, diffamation"". Pour voir la correspondance avec les motifs standardisés de ce document, voir l'onglet ""2_noms_categories"". Ce chiffre ne comprend donc pas les actions motivées par les raisons énumérées dans la catégorie 15 de la page intitulée ""2_noms_categories"". Ces actions non prises en compte dans cette cellule, et plus généralement dans cet onglet, sont notamment pour ""Pornographie"", ""Publicité"" ou ""Spoiler"".",
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,0,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",JV,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,0,,,,,,,,,,,,,,,,,,
