Applicability,Service,Indicator,Value
All,Instagram,Name of the service provider,Meta Platforms Ireland Limited 
All,Instagram,Date of the publication of the report,2026-02-28
All,Instagram,Date of the publication of the latest previous report,2025-08-29
All,Instagram,Starting date of reporting period,2025-07-01
All,Instagram,Ending date of reporting period,2025-12-31
