Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,78,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,,All internal complaints either result in a decision reversal or an upholding of the original decision.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,75,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,0.007,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,"10,328","Meta is providing the number of decisions received from dispute settlement bodies, as we are not able to track the number of disputes submitted to dispute settlement bodies. The out-of-court dispute total includes submissions where Meta cannot act, which therefore have no corresponding decision."
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,310,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,,All internal complaints either result in a decision reversal or an upholding of the original decision.
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,"6,277",
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,3.42,"The median turnaround time is calculated from the time when Meta receives a decision from dispute settlement bodies, to the time Meta completes the review and decision process."
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0.01,"We have seen a large rise in decisions submitted that we are unable to implement because they relate to content enforcements that were either expired, overturned previously, or could not be located due to insufficient information"
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content ,Total number,0,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,0,
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,0,
