Applicability,Service,Indicator,Value
All,Whatnot,Name of the service provider,"Whatnot, Inc."
All,Whatnot,Date of the publication of the report,2026-02-25 00:00:00
All,Whatnot,Date of the publication of the latest previous report,2025-02-16 00:00:00
All,Whatnot,Starting date of reporting period,2025-01-01 00:00:00
All,Whatnot,Ending date of reporting period,2025-12-31 00:00:00
