Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_OTHER,KEYWORD_PRIVACY_POLICIES,68,0,6,0,0.24,,8,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,24987,4,93120,227,0.24,0.41,17828,4,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,21039,2,55386,7,0.19,0.07,16067,2,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,13,0,29,0,0,,8,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Shopify,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,15,0,2,0,0.1,,1,0,0,0,,,,,,,,,,
