Applicability,Service,Indicator,Value
All,Shopify,Name of the service provider,Shopify International Ltd.
All,Shopify,Date of the publication of the report,2026-02-28 00:00:00
All,Shopify,Date of the publication of the latest previous report,2025-04-02 00:00:00
All,Shopify,Starting date of reporting period,2025-01-01 00:00:00
All,Shopify,Ending date of reporting period,2025-12-31 00:00:00
