[LIVE] DSA Internal Data Annex_2025 - Full Report for CSV Export (1)
Applicability,Service,Indicator,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Intermediary Services,Name of the service provider,Faire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Intermediary Services,Date of the publication of the report,2026-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Intermediary Services,Date of the publication of the latest previous report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Intermediary Services,Starting date of reporting period,2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Intermediary Services,Ending date of reporting period,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 13c,Not captured by any other sub-category  ,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 14,Violence ,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 14a,Coordinated harm,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 14b,General calls or incitement to violence and/or hatred,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 14c,Human exploitation,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 14d,Human trafficking,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 14e,Trafficking in women and girls,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 14f,Not captured by any other sub-category  ,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15,Other violation of provider’s terms and conditions,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15a,Adult sexual material,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15b,Age-specific restrictions,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15c,Geographical requirements,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15d,Goods/services not permitted to be offered on the platform,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15e,Language requirements,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15f,Nudity,KEYWORD_NUDITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 15g,Not captured by any other sub-category  ,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 16,Type of illegal content not specified by the public authority,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category 17,Type of alleged illegal content not specified by the notifier,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,TOTAL,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_ANIMAL_HARM,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Faire,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
