Applicabilité,Service,Indicateur,Valeur
Tous,"Service intermédiaire:

Qwant, est un moteur de recherche Français et souverain, reposant en partie sur une technologie européenne appelée “Staan”, proposée par European perspective, entité cofondée par Ecosia et Qwant. Qwant s’inscrit également dans une démarche de  protection de la vie privée des utilisateurs en axant son service sur la confidentialité des données. A ce titre, Qwant limite sa collecte de données aux seules informations strictement nécessaires au fonctionnement de son moteur de recherche. Le Service est accessible dans tous les pays.","Qwant, SAS au capital de 66 036,73€ immatriculée au RCS de Paris sous le numéro 532867256, dont le siège social est situé au 42 avenue de la Porte de Clichy - 75017 Paris, représentée par son Directeur Général, Monsieur Olivier Abecassis",1
Tous,,Date de publication du rapport,2026-02-28 00:00:00
Tous,,Date de publication du rapport précédent,2026-01-14 00:00:00
Tous,,Date de début de la période couverte par le rapport,2025-01-01 00:00:00
Tous,,Date de fin de la période couverte par le rapport,2025-12-31 00:00:00
