Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures prises par des moyens automatisés uniquement,Nombre total,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,Nombre total,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Précision,Nombre total,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Exactitude,Nombre total,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Rappel,Nombre total,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures prises par des moyens automatisés uniquement,Initiative propre,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,Initiative propre,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Précision,Initiative propre,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Exactitude,Initiative propre,0,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Rappel,Initiative propre,0,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de notifications traitées par des moyens automatisés uniquement,MNA - Total,0,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de notifications non traitées par des moyens automatisés,MNA - Total,0,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Précision,MNA - Total,0,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Exactitude,MNA - Total,0,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Rappel,MNA - Total,0,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de notifications traitées par des moyens automatisés uniquement,MNA - Signaleur de confiance,0,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de notifications non traitées par des moyens automatisés,MNA - Signaleur de confiance,0,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Précision,MNA - Signaleur de confiance,0,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Exactitude,MNA - Signaleur de confiance,0,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Rappel,MNA - Signaleur de confiance,0,
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures prises par des moyens automatisés uniquement,bg,0,
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures prises par des moyens automatisés uniquement,[...],0,
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures prises par des moyens automatisés uniquement,sv,0,
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,bg,0,
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,[...],0,
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,sv,0,
