Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,4113,0,n/a,0,0.7 days,0,,,,,In this category we are counting the personnal data deletion request and account deactivation requests,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,n/a,0,n/a,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,0,0,n/a,0,n/a,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,n/a,0,n/a,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,4113,0,n/a,0,0.7 days,0,,,,,In this category we are counting the personnal data deletion request and account deactivation requests,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,n/a,0,n/a,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,0,0,,,,,As a Marketplace we are not subject to this category,As a Marketplace we are not subject to this category,As a Marketplace we are not subject to this category,As a Marketplace we are not subject to this category,As a Marketplace we are not subject to this category,As a Marketplace we are not subject to this category,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,970,0,3005,0,n/a,0,,,,,In this category we are counting the Intellectual property Infringements complaints we received,n/a,Some complaints concerns multiple content,n/a,The median time to take action vary a lot due to the complexity of the complaints.,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,530,0,1677,0,2.3 days,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,106,0,365,0,5.1 days,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,86,0,299,0,10.9 days,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
"Only for providers of hosting services, including online platforms",,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,,,,
