Applicability,Service,Indicator,Value
All,Workspace,Name of the service provider,Google
All,Workspace,Date of the publication of the report,2026-02-27
All,Workspace,Date of the publication of the latest previous report,2025-08-28
All,Workspace,Starting date of reporting period,2025-07-01
All,Workspace,Ending date of reporting period,2025-12-31
