Applicability,Service,Indicator,Value
All,,Name of the service provider,Hostelworld.com Limited
All,,Date of the publication of the report,2026-02-13 00:00:00
All,,Date of the publication of the latest previous report,2025-02-28 00:00:00
All,,Starting date of reporting period,2025-01-01 00:00:00
All,,Ending date of reporting period,2025-12-31 00:00:00
