Applicability,Service,Indicator,Value
All,LinkedIn,Name of the service provider,"LinkedIn Ireland Unlimited Company (""LinkedIn"")"
All,LinkedIn,Date of the publication of the report,2026-02-26
All,LinkedIn,Date of the publication of the latest previous report,2025-08-29
All,LinkedIn,Starting date of reporting period,2025-07-01
All,LinkedIn,Ending date of reporting period,2025-12-31
