Applicability,Service,Indicator,Value
All,Google Play,Name of the service provider,Google
All,Google Play,Date of the publication of the report,2026-08-28
All,Google Play,Date of the publication of the latest previous report,2026-02-27
All,Google Play,Starting date of reporting period,2026-01-01
All,Google Play,Ending date of reporting period,2026-06-30
