Applicability,Service,Indicator,Value
All,Facebook,Name of the service provider,Meta Platforms Ireland Limited 
All,Facebook,Date of the publication of the report,2026-08-28
All,Facebook,Date of the publication of the latest previous report,2026-02-28
All,Facebook,Starting date of reporting period,2026-01-01
All,Facebook,Ending date of reporting period,2026-06-30
