Applicability,Service,Indicator,Value
All,Facebook,Name of the service provider,Meta Platforms Ireland Limited 
All,Facebook,Date of the publication of the report,2026-02-28
All,Facebook,Date of the publication of the latest previous report,2025-08-29
All,Facebook,Starting date of reporting period,2025-07-01
All,Facebook,Ending date of reporting period,2025-12-31
