Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,NL,,,,,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,PL,,,,,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,RO,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,SE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",AT,,,,,3,,97,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",BE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",BG,,,,,1,,30,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",CY,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",CZ,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",DE,,,,,12,,146,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",DK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",EE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",ES,,,,,8,,105,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",FI,,,,,2,,290,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",FR,,,,,2,,218,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",GR,,,,,8,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",HR,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",HU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",IE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",IT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",LT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",LU,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",LV,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",MT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",NL,,,,,1,,43,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",PL,,,,,2,,901,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",PT,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",RO,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",SE,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",SI,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 1c,KEYWORD_OTHER,"Under this category, we consider member state orders for: Environmental Crimes Animal Welfare.",SK,,,,,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,AT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,BE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,BG,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,CY,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,CZ,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,DE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,DK,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,EE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,ES,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,FI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,FR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,GR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,HR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,HU,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,IE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,IT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,LT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,LU,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,LV,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,MT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,NL,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,PL,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,PT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,RO,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,SE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,SI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,SK,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",AT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",BE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",BG,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",CY,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",CZ,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",DE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",DK,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",EE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",ES,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",FI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",FR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",GR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",HR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",HU,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",IE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",IT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",LT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",LU,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",LV,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",MT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",NL,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",PL,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",PT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",RO,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",SE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",SI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",SK,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,AT,0,0,,0,41,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,BE,0,0,,0,107,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,BG,0,0,,0,5,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,CZ,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,DE,9,30,,0,579,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,DK,3,5,,0,19,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,EE,3,3,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,ES,1,1,,0,149,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,FI,0,0,,0,11,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,FR,55,62,,0,276,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,GR,1,7,,0,10,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,HR,0,0,,0,9,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,HU,11,12,,0,6,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,IE,1,0,,0,13,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,IT,44,1,,0,75,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,LT,3,50,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,LV,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,MT,0,0,,0,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,NL,6,8,,0,82,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,PL,0,0,,0,13,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,PT,0,0,,0,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,RO,17,256,,0,13,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,SE,1,1,,0,73,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",AT,0,0,,0,21,,76,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",BE,0,0,,0,84,,166,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",BG,0,0,,0,2,,436,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",CZ,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",DE,9,30,,27,455,,104,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",DK,1,1,,47,15,,119,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",EE,3,3,,1,1,,1125,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",ES,1,1,,0,82,,289,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",FI,0,0,,0,6,,232,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",FR,54,61,,6,209,,142,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",GR,1,7,,217,4,,645,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",HR,0,0,,0,9,,48,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",HU,11,12,,4,6,,194,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",IE,1,0,,0,12,,197,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",IT,2,1,,2,44,,321,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",LT,3,50,,50,1,,4,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",LV,0,0,,0,1,,164,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",MT,0,0,,0,8,,119,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",NL,6,8,,27,62,,97,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",PL,0,0,,0,13,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",PT,0,0,,0,3,,143,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",RO,17,256,,146,13,,336,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",SE,1,1,,4,69,,148,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",AT,0,0,,0,20,,69,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",BE,0,0,,0,23,,82,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",BG,0,0,,0,3,,234,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",CZ,0,0,,0,1,,31,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",DE,0,0,,0,124,,117,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",DK,2,4,,0,4,,126,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",EE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",ES,0,0,,0,67,,126,,,,,,,
