Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 2e,KEYWORD_NONCOMPLIANCE_PRICING,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 2f,KEYWORD_OTHER,"Under this category, we consider member state orders for: Consumer-related Offences.",TOTAL,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,TOTAL,155,436,,0,1499,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3a,KEYWORD_CYBER_BULLYING_INTIMIDATION,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider member state orders for: Harassment Bullying, Harassment or Threats.",TOTAL,110,431,,30,1120,,142,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3c,KEYWORD_CYBER_INCITEMENT,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3d,KEYWORD_CYBER_STALKING,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",TOTAL,45,5,,4,379,,117,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3f,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3g,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4a,KEYWORD_BULLYING_AGAINST_GIRLS,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4b,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4c,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4d,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4e,KEYWORD_INCITEMENT_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
