Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,13,"Number of successful Trusted Flaggers reporter's appeals received for Video, Live, Comments, Ads and Product listings for not enforcing content under Article 16",,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,0.375,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,6886,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,266,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,2525,These include procedural reversal decisions that do not address the merits of the platform's moderation decision,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,43,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,2778,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0.21,The denominator of the % does not include procedural reversal decisions that do not address the merits of the platform's moderation decision,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content,Total number,137538,"TikTok operates a system for suspending users who repeatedly violate our Community Guidelines. While Community Guidelines violations may also involve manifestly illegal content, the repeat-offender suspension system applies to repeated violations of our Community Guidelines more broadly and is not only limited to manifestly illegal content.",,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,,,,,,,,,,,,,
