Applicability,Service,Reporting period,Category label,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Tiktok,2026-01-01/2026-06-30,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,30506462,30278727,26412193,,,,,,3990254,,,,104015,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3a,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3b,KEYWORD_CYBER_HARASSMENT,"Under this category, we consider violations of the following policies: Safety and Civility - Harassment and Bullying.",26860262,26607173,22933173,,,,,,3825530,,,,101559,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3c,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3d,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider violations of the following policies: Safety and Civility - Adult Sexual Abuse.",3646200,3671554,3479020,,,,,,164724,,,,2456,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3f,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3g,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4a,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4b,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4c,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4d,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4e,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4f,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4g,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4h,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,1544097,1553354,1124361,,,,,,419709,,,,27,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5a,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5b,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5c,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5d,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Privacy and Security - Personal Information.",1544097,1553354,1124361,,,,,,419709,,,,27,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,11702107,11540555,10257552,,,,,,1002727,,,,441828,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6b,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider violations of the following policies: Safety and Civility - Hate Speech and Hateful Behavior.",11702107,11540555,10257552,,,,,,1002727,,,,441828,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,224237,183259,224237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7a,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7b,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7c,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7d,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7e,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7f,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: IP infringement.",224237,183259,224237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,2145846,1982801,1409154,,,,,,736231,,,,461,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8a,KEYWORD_MISINFORMATION_DISINFORMATION,"Under this category, we consider violations of the following policies: Integrity and Authenticity - Misinformation.",1249062,1110610,801018,,,,,,447640,,,,404,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8b,KEYWORD_VIOLATION_EU_LAW,"Under this category, we consider violations of the following policies: Integrity and Authenticity - Civic and Election Integrity.",28731,26674,13718,,,,,,14978,,,,35,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8c,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8d,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Integrity and Authenticity - Edited Media and AI-Generated Content (AIGC).",868053,845517,594418,,,,,,273613,,,,22,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,73732185,72385710,11119712,,,,,,62560350,,,,52123,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9a,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,"Under this category, we consider violations of the following policies: Youth Safety and Well-Being - Minimum Age Requirement.",66559093,65263387,5218694,,,,,,61339507,,,,892,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider violations of the following policies: Youth Safety and Well-Being - Youth Sexual and Physical Abuse.",1764175,1717524,1332657,,,,,,429830,,,,1688,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9c,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9d,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9e,KEYWORD_UNSAFE_CHALLENGES,"Under this category, we consider violations of the following policies: Mental and Behavioral Health - Dangerous Activity and Challenges.",5407687,5404799,4567131,,,,,,791013,,,,49543,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,"Under this category, we consider violations of the following policies: Youth Safety and Well-Being - Nudity and Body Exposure, Youth Safety.",1230,0,1230,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,1300367,1138207,1061818,,,,,,236644,,,,1905,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider violations of the following policies: Safety and Civility - Violent and Hateful Organizations and Individuals.",1300367,1138207,1061818,,,,,,236644,,,,1905,,,,,,,,,,,,,,,,,,,
