Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
All,Tiktok,2026-01-01/2026-06-30,Category 4g,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4h,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,177188,143,51436,122,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5a,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5b,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5c,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5d,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: Illegal privacy- related violations.",177188,143,51436,122,15.7,18.5,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,202466,138,59645,135,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider user or trusted flaggers report for the following reason: Defamation.",57028,25,19460,24,10.6,1.5,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6b,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider user or trusted flaggers report for the following reason: Illegal hate speech.",145438,113,40185,111,5.2,6.9,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7a,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7b,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7c,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7d,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7e,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7f,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 7g,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8a,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8b,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8c,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 8d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,89340,27,28884,25,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9a,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"Under this category, we consider user or trusted flaggers report for the following reason: Child sexual exploitation.",89340,27,28884,25,7.7,1.2,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9c,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9d,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9e,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 9f,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,129875,5,39943,4,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,"Under this category, we consider user or trusted flaggers report for the following reason: Content relating to violent or organised crime.",44733,1,13453,0,3.5,3.5,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10b,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10c,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10d,KEYWORD_TERRORIST_CONTENT,"Under this category, we consider user or trusted flaggers report for the following reason: Consumer- related offences.",63014,4,17674,4,3.5,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 10e,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: National security-related offences.",22128,0,8816,0,3.3,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,64990,0,15712,0,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11b,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11c,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11d,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11e,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11f,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 11g,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: Financial crime.",64990,0,15712,0,6.4,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12a,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12b,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12c,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 12d,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,161855,4,44303,2,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13a,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13b,KEYWORD_UNSAFE_PRODUCTS,,59368,2,19340,0,5.4,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 13c,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: Illegal goods / services.",102487,2,24963,2,3.7,15.8,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14a,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14d,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14e,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 14f,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,139233,122,64586,109,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15a,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15b,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15c,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15d,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15e,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15f,KEYWORD_NUDITY,,,,,,,,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 15g,KEYWORD_OTHER,"Under this category, we consider user or trusted flaggers report for the following reason: Other types of illegal content",139233,122,64586,109,11.4,14.0,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 17,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,,,,,,,,,,,,,,,Median times can only be calculated at total level and subcategory level due to dataset limitations,Median times can only be calculated at total level and subcategory level due to dataset limitations,,,,
