Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,total,0.92,"It is calculated as upheld automated enforcement actions plus restored human enforcement actions, divided by total enforcement outcomes.",,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,total,0.97,"It is calculated as the proportion of automated enforcement actions that were upheld (i.e., not successfully appealed) out of all automated enforcement actions during the reporting period.",,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,total,0.94,It is calculated as upheld automated enforcement actions divided by total upheld enforcement actions across both automated and human detection.,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,AT,2821636,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,AT,478710,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,AT,0.829,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,AT,0.966,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,AT,0.853,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,BE,3553151,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,BE,479739,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,BE,0.852,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,BE,0.963,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,BE,0.88,,,,,,,,,,,,
