Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,TOTAL,"64,727,103"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,AT,"969,692"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BE,"1,650,732"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,BG,"423,201"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CY,"198,789"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,CZ,"1,254,216"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DE,"9,954,390"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,DK,"719,790"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,EE,"166,447"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,ES,"11,032,194"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FI,"1,288,746"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,FR,"12,388,560"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,GR,"1,143,966"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HR,"429,500"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,HU,"747,602"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IE,"1,660,059"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,IT,"5,069,933"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LT,"240,022"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LU,"120,846"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,LV,"226,334"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,MT,"90,088"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,NL,"5,074,285"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PL,"4,944,745"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,PT,"1,578,030"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,RO,"1,021,107"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SE,"1,722,494"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SI,"294,587"
Only for VLOPs and VLOSEs,X,2026-01-01/2026-06-30,AMAR,Number of average monthly active recipients during the reporting period ,SK,"316,748"
