Applicability,Service,Indicator,Value
All,X,Name of the service provider,X Internet Unlimited Company
All,X,Date of the publication of the report,2026-08-31
All,X,Date of the publication of the latest previous report,2026-03-02
All,X,Starting date of reporting period,2026-01-01
All,X,Ending date of reporting period,2026-06-30
