Applicability,Service,Indicator,Value
All,Nintendo Switch Online,Name of the service provider,Nintendo
All,Nintendo Switch Online,Date of the publication of the report,2026-02-27 00:00:00
All,Nintendo Switch Online,Date of the publication of the latest previous report,2025-02-28 00:00:00
All,Nintendo Switch Online,Starting date of reporting period,2025-01-01 00:00:00
All,Nintendo Switch Online,Ending date of reporting period,2025-12-31 00:00:00
