Applicability,Service,Indicator,Value
All,,Name of the service provider,Vestiaire Collective
All,,Date of the publication of the report,31/03/2026
All,,Date of the publication of the latest previous report,2025-02-04 00:00:00
All,,Starting date of reporting period,17/02/2025
All,,Ending date of reporting period,31/12/2025
