Applicabilité,Service,Indicateur,Valeur
Tous,"Service intermédiaire:
Lilo est un moteur de recherche français engagé dans une démarche de soutien à des projets sociaux et environnementaux. En effet, Lilo reverse une partie de ses bénéfices à des associations. 
Lilo a été absorbée par la société Qwant par la biais d’une décision de fusion-acquisition. 
Ainsi, depuis le 1er septembre 2025, les services précédemment proposés sous la marque Lilo sont intégrés au sein de l’organisation, des infrastructures techniques et de la gouvernance de Qwant. En conséquence, les informations relatives aux obligations de transparence prévues par le DSA pour la période postérieure à cette absorption sont désormais couvertes et publiées dans le rapport de transparence de Qwant. 
Le présent rapport de transparence est publié au titre de la conformité de Lilo aux exigences du Règlement (UE) 2022/2065 relatif aux services numériques (ci-après le “DSA”), pour la période durant laquelle Lilo exerçait son activité en tant qu’entité juridique autonome. Il couvre la période allant du 1er Septembre au 31 décembre 2025. 
Le présent rapport a ainsi pour objet de répondre aux obligations de transparences applicables à Lilo pour la période antérieure à son intégration au sein de Qwant, conformément au DSA, applicable depuis le 17 février 2024 à l’ensemble des services intermédiaires proposant leurs services au sein de l’Union Européenne.","Qwant, SAS au capital de 66 036,73€ immatriculée au RCS de Paris sous le numéro 532867256, dont le siège social est situé au 42 avenue de la Porte de Clichy - 75017 Paris, représentée par son Directeur Général, Monsieur Olivier Abecassis",
Tous,,Date de publication du rapport,2026-02-27 00:00:00
Tous,,Date de publication du rapport précédent,
Tous,,Date de début de la période couverte par le rapport,2025-09-01 00:00:00
Tous,,Date de fin de la période couverte par le rapport,2025-12-31 00:00:00
