Catégorie 8,Effets négatifs sur le discours civique et les processus électoraux,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,
Catégorie 8a,"Mésinformation, désinformation, activités de manipulation de l’information et d’ingérence menées depuis l’étranger",KEYWORD_MISINFORMATION_DISINFORMATION,
Catégorie 8b,Violation du droit de l’UE relatif au discours civique ou aux processus électoraux,KEYWORD_VIOLATION_EU_LAW,
Catégorie 8c,Violation du droit national relatif au discours civique ou aux processus électoraux,KEYWORD_VIOLATION_NATIONAL_LAW,
Catégorie 8d,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 9,Protection des mineurs,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,
Catégorie 9a,Restrictions liées à l’âge concernant les mineurs,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,
Catégorie 9b,Contenus à caractère pédopornographique,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,
Catégorie 9c,Matériel relatif à des abus sexuels sur enfants créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,
Catégorie 9d,Pédopiégeage/soustraction de mineurs à des fins sexuelles,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,
Catégorie 9e,Défis dangereux,KEYWORD_UNSAFE_CHALLENGES,
Catégorie 9f,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 10,Risque pour la sécurité publique,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,
Catégorie 10a,Organisations illégales,KEYWORD_ILLEGAL_ORGANIZATIONS,
Catégorie 10b,Risque de dommages environnementaux,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,
Catégorie 10c,Risque pour la santé publique,KEYWORD_RISK_PUBLIC_HEALTH,
Catégorie 10d,Contenus à caractère terroriste,KEYWORD_TERRORIST_CONTENT,
Catégorie 10e,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 11,Escroqueries et/ou fraudes,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,
Catégorie 11a,Imposture ou piratage de compte,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,
Catégorie 11b,Comptes non authentiques,KEYWORD_INAUTHENTIC_ACCOUNTS,
Catégorie 11c,Annonces non authentiques,KEYWORD_INAUTHENTIC_LISTINGS,
Catégorie 11d,Avis d’utilisateur non authentiques,KEYWORD_INAUTHENTIC_USER_REVIEWS,
Catégorie 11e,Hameçonnage,KEYWORD_PHISHING,
Catégorie 11f,Systèmes de vente pyramidale,KEYWORD_PYRAMID_SCHEMES,
Catégorie 11g,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 12,Autodestruction,STATEMENT_CATEGORY_SELF_HARM,
Catégorie 12a,Contenus promouvant les troubles de l’alimentation,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,
Catégorie 12b,Automutilation,KEYWORD_SELF_MUTILATION,
Catégorie 12c,Suicide,KEYWORD_SUICIDE,
Catégorie 12d,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 13,"Produits dangereux, non conformes ou interdits",STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,
Catégorie 13a,Produits interdits ou faisant l’objet de restrictions,KEYWORD_PROHIBITED_PRODUCTS,
Catégorie 13b,Produits dangereux ou non conformes,KEYWORD_UNSAFE_PRODUCTS,
Catégorie 13c,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 14,Violence,STATEMENT_CATEGORY_VIOLENCE,
Catégorie 14a,Actions néfastes coordonnées,KEYWORD_COORDINATED_HARM,
Catégorie 14b,Appels généraux ou incitation à la violence et/ou à la haine,KEYWORD_INCITEMENT_VIOLENCE_HATRED,
Catégorie 14c,Exploitation des êtres humains,KEYWORD_HUMAN_EXPLOITATION,
Catégorie 14d,Traite des êtres humains,KEYWORD_HUMAN_TRAFFICKING,
Catégorie 14e,Traite des femmes et des filles,KEYWORD_TRAFFICKING_WOMEN_GIRLS,
Catégorie 14f,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 15,Autre violation des conditions générales du fournisseur,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,
Catégorie 15a,Matériel à caractère sexuel pour adultes,KEYWORD_ADULT_SEXUAL_MATERIAL,
Catégorie 15b,Restrictions liées à l’âge,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,
Catégorie 15c,Exigences géographiques,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,
Catégorie 15d,Biens/services dont l’offre n’est pas autorisée sur la plateforme,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,
Catégorie 15e,Exigences linguistiques,KEYWORD_LANGUAGE_REQUIREMENTS,
Catégorie 15f,Nudité,KEYWORD_NUDITY,
Catégorie 15g,Non couvert par une autre sous-catégorie,KEYWORD_OTHER,
Catégorie 16,Type de contenu illicite non spécifié par l’autorité publique,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,
Catégorie 17,Type de contenu présumé illicite non spécifié par la personne à l’origine de la notification,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,
