Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,5420,,5420,,30,,,,,,"Il s'agit ici des demandes déréférencement. Cela inclut les images ainsi que les sites. 

Comme évoqué ci-dessus, les notifications reçues sont à destination de Qwant et non Lilo. Ainsi, toute mesure de déréférencement mise en œuvre sur le moteur de recherche Qwant s’applique automatiquement, par effet technique, aux résultats accessibles via Lilo lorsque les liens concernés y figurent. Dans un souci de transparence et d’exhaustivité, il a donc été décidé d’inclure dans le présent rapport les  notifications reçues de signaleur de confiance depuis le 1er septembre 2025.",,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HATE_SPEECH,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_COPYRIGHT_INFRINGEMENT,,1,,1,,,,,,,,"Cela inclut les images ainsi que les sites. 

Comme évoqué ci-dessus, les notifications reçues sont à destination de Qwant et non Lilo. Ainsi, toute mesure de déréférencement mise en œuvre sur le moteur de recherche Qwant s’applique automatiquement, par effet technique, aux résultats accessibles via Lilo lorsque les liens concernés y figurent. Dans un souci de transparence et d’exhaustivité, il a donc été décidé d’inclure dans le présent rapport les  notifications reçues de signaleur de confiance depuis le 1er septembre 2025.",,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
