Applicabilité,Service,Période couverte par le rapport,Indicateur,Valeur
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Récapitulatif des activités de modération des contenus auxquelles se sont livrés les fournisseurs de leur propre initiative,"Il est important de rappeler que Lilo ne procède à l’exploration automatisée de contenus accessibles publiquement sur le Web (appelé le crawl), dans le seul objectif de permettre le référencement de sites internet au sein de son moteur de recherche. Lilo n’exerce aucun contrôle a priori sur les sites ainsi explorés et ne dispose d’aucun pouvoir d'intervention sur les contenus hébergés par des tiers. 

En outre, Lilo n’intervient ni dans la gestion des données collectées par ses outils de crawl, ni dans la production, l’analyse éditoriale, la sélection manuelle ou la modification des contenus provenant de sites tiers. A ce titre, Lilo ne saurait être qualifiée comme exerçant, de sa propre initiative une activité de modération des contenus à la sources, dès lors qu’elle ne dispose pas de la maîtrise technique permettant d'éditorialiser, de modifier ou de supprimer les contenus hébergés par des sites tiers. 

En cas de notification ou de signalement portant sur un contenu potentiellement illicite ou litigieux accessible via le moteur de recherche, Lilo met en œuvre les mécanismes de traitement prévus aux conditions générales. 

Enfin, une partie des contenus accessibles via le moteur de recherche repose sur des sources mises à disposition par Microsoft dans le cadre d’un partenariat technologique. A ce titre, une partie des contenus accessibles via le moteur de recherche fait déjà l’objet de mécanismes de filtrage et de modération mis en œuvre en amont par ce partenaire."
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Informations utiles et compréhensibles sur les activités de modération des contenus auxquelles se sont livrés les fournisseurs de leur propre initiative,Texte libre
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Description qualitative des moyens automatisés,Texte libre
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Description qualitative des indicateurs de précision et du taux d’erreur possible des moyens automatisés,Texte libre
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Indication des objectifs précis du recours à des moyens automatisés,Texte libre
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,Mesures de sauvegarde appliquées en cas de recours à des moyens automatisés,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Description générale de la structure de gouvernance des activités de modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Qualifications des ressources humaines chargées de la modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Formation dispensée aux ressources humaines chargées de la modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Accompagnement apporté aux ressources humaines chargées de la modération des contenus,Texte libre
Uniquement pour les fournisseurs de VLOP,,AAAA-MM-JJ/AAAA-MM-JJ,Méthodologie utilisée pour calculer le nombre de ressources humaines chargées de la modération des contenus,Texte libre
