Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise conformément à l’article 16,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions non prises,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Pourcentage des résultats mis en œuvre,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la fourniture de contenus manifestement illicites,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la soumission de notifications manifestement infondées,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,,AAAA-MM-JJ/AAAA-MM-JJ,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la soumission de réclamations manifestement infondées,Nombre total,,
