Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the receipt of the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_TERRORIST_CONTENT,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,,,,,1,0,2,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,,,,,1,0,2,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_PHISHING,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_PYRAMID_SCHEMES,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_SELF_MUTILATION,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_SUICIDE,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,3,62,0,144,,,,These orders pertain to online gambling identified by the government as illegal in their jurisdiction.,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,3,62,0,144,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_COORDINATED_HARM,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,TOTAL,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,
