Applicability,Service,Reporting period,Section,Indicator,Scope,Value
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,AMAR,Number of average monthly active recipients during the reporting period,TOTAL,N/A
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,AMAR,Number of average monthly active recipients during the reporting period,AT,N/A
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,AMAR,Number of average monthly active recipients during the reporting period,[...],N/A
Only for VLOPs and VLOSEs,,YYYY-MM-DD/YYYY-MM-DD,AMAR,Number of average monthly active recipients during the reporting period,SE,N/A
